Osabo,Greater Accra,Ghana,5.55,-0.6,
Osu,Greater Accra,Ghana,5.56,-0.19,
Oyarifa,Greater Accra,Ghana,5.74,-0.18,
Oyinso,Greater Accra,Ghana,5.78,-0.32,
Pantang,Greater Accra,Ghana,5.73,-0.19,
Parakuo Estates,Greater Accra,Ghana,5.64,-0.23,
Pig Farm,Greater Accra,Ghana,5.6,-0.2,
Pobiman,Greater Accra,Ghana,5.73,-0.32,
Poukuase,Greater Accra,Ghana,5.69,-0.28,
Prampram,Greater Accra,Ghana,5.7184359,-0.106065,
Ringway Estate,Greater Accra,Ghana,5.57,-0.18,
Roman Bridge,Greater Accra,Ghana,5.6,-0.2,
Sabon Zongo,Greater Accra,Ghana,5.55,-0.24,
Sakaman,Greater Accra,Ghana,5.5754611,-0.2764842,
Sakumono,Greater Accra,Ghana,5.6243155,-0.0735789,
Sakumono Estates,Greater Accra,Ghana,5.62,-0.05,
Salam,Greater Accra,Ghana,5.8,-0.43,
Samsam,Greater Accra,Ghana,5.78,-0.3,
Samsamso,Greater Accra,Ghana,5.58,-0.57,
Santa Maria,Greater Accra,Ghana,5.6,-0.26,
Sapeman,Greater Accra,Ghana,5.73,-0.31,
Sege (town),Greater Accra,Ghana,5.879762,-0.3538371,
Shai Hills,Greater Accra,Ghana,5.8803967,0.0823827,
Shiashie,Greater Accra,Ghana,5.6299109,-0.1831951,
Shiayena,Greater Accra,Ghana,5.52,-0.3,
Sodom and Gomorrah,Greater Accra,Ghana,5.55,-0.22,
South Industrial Area,Greater Accra,Ghana,5.56,-0.22,
South La Estate,Greater Accra,Ghana,5.55,-0.16,
South Ordokor,Greater Accra,Ghana,5.57,-0.27,
Sowutuom,Greater Accra,Ghana,5.6227555,-0.2836349,
Spintex Road,Greater Accra,Ghana,5.64,-0.1,
Taifa,Greater Accra,Ghana,5.6535192,-0.2696526,
Tebu,Greater Accra,Ghana,5.63,-0.45,
Teiman,Greater Accra,Ghana,5.75,-0.18,
Tema,Greater Accra,Ghana,5.62,-0.02,
Tema Community 1,Greater Accra,Ghana,5.6431943,-0.012244,
Tema Community 4,Greater Accra,Ghana,5.6554262,-0.0121931,
Tema Community 5,Greater Accra,Ghana,5.6418392,-0.0269573,
Tema Manhean,Greater Accra,Ghana,5.6419449,-0.0532223,
Tenbibian,Greater Accra,Ghana,5.7,-0.46,
Tesa,Greater Accra,Ghana,5.63,-0.13,
Tesano,Greater Accra,Ghana,5.6,-0.23,
Teshi Old Town,Greater Accra,Ghana,5.58,-0.11,
Teshie,Greater Accra,Ghana,5.61,-0.1,
Teshie Manheam,Greater Accra,Ghana,5.61,-0.11,
Teshie Nungua Estates,Greater Accra,Ghana,5.6,-0.09,
Teshie-Nungua,Greater Accra,Ghana,5.595872,-0.102315,
Tetegbu,Greater Accra,Ghana,5.54,-0.31,
Trade Center,Greater Accra,Ghana,5.57,-0.15,
Tudu,Greater Accra,Ghana,5.55,-0.21,
Tunga,Greater Accra,Ghana,5.55,-0.27,
University of Ghana,Greater Accra,Ghana,5.66,-0.19,
Ussher Town,Greater Accra,Ghana,5.54,-0.21,
Victoriaborg,Greater Accra,Ghana,5.55,-0.2,
Weija,Greater Accra,Ghana,5.57,-0.33,
West Legon Residential,Greater Accra,Ghana,5.65,-0.21,
West Ridge,Greater Accra,Ghana,5.56,-0.2,
,,,,,,
,,,,,,
Name,What,Region,Country,Lat,Long,
Ablamuzadu,Volta,Ghana,6.13,-1.04,
Ablekpui,Volta,Ghana,6.14,-1.16,
Abor,Volta,Ghana,6.0604373,-0.8569337,
Abutia Kpota,Volta,Ghana,6.5560714,-0.4250551,
Abutia-Teti,Volta,Ghana,6.5357589,-0.3832709,
Adafienu,Volta,Ghana,6.08,-1.12,
Adafienu,Volta,Ghana,6.0976918,-1.1420845,
Adaklu,Volta,Ghana,6.4387111,-0.1976962,
Adaklu Waya,Volta,Ghana,6.4470107,-0.6235599,
Adedido,Volta,Ghana,6.16,1.14,
Adidokope,Volta,Ghana,6.12,1.01,
Adidome,Volta,Ghana,6.0713406,-0.4916808,
Adidotoe,Volta,Ghana,6.13,1.11,
Adina,Volta,Ghana,6.04,1.08,
Adinamonu,Volta,Ghana,6.05,1.05,
Adotokope,Volta,Ghana,6.14,1.06,
Aduta,Volta,Ghana,6.16,1.18,
Adzapakope,Volta,Ghana,6.15,1.1,
Adzinukorpe,Volta,Ghana,6.13,1.03,
Aflao,Volta,Ghana,6.1138885,-1.1975474,
Afloa,Volta,Ghana,6.12,1.19,
Afuta,Volta,Ghana,6.06,1.02,
Agavedzi,Volta,Ghana,6.01,1.05,
Agbadikorpe,Volta,Ghana,6.06,1.04,
Agbimenyihiakope,Volta,Ghana,6.06,1.06,
Agblakope,Volta,Ghana,6.09,1.02,
Agbosokope,Volta,Ghana,6.13,1.04,
Agbozume,Volta,Ghana,6.0728339,-1.0226238,
Aginukope,Volta,Ghana,6.13,1.03,
Agortime-Kpetoe,Volta,Ghana,6.550337,-0.6864738,
Agotorme,Volta,Ghana,6.06,1.03,
Ahamansu,Volta,Ghana,7.7299264,-0.5482006,
